longitude [°],latitude [°]
12.698634,61.635227
12.698601,61.635218
12.698550,61.635222
12.698507,61.635241
12.698474,61.635252
12.698422,61.635256
12.698382,61.635250
12.698347,61.635264
12.698305,61.635260
12.698268,61.635250
12.698242,61.635232
12.698197,61.635241
12.698152,61.635254
12.698111,61.635262
12.698073,61.635270
12.698057,61.635289
12.698019,61.635303
12.697987,61.635318
12.697950,61.635322
12.697912,61.635333
12.697872,61.635338
12.697836,61.635344
12.697782,61.635337
12.697744,61.635334
12.697716,61.635349
12.697681,61.635356
12.697642,61.635357
12.697608,61.635347
12.697578,61.635332
12.697542,61.635324
12.697498,61.635336
12.697491,61.635357
12.697475,61.635382
12.697436,61.635393
12.697396,61.635400
12.697395,61.635425
12.697378,61.635448
12.697354,61.635463
12.697305,61.635461
12.697263,61.635463
12.697221,61.635465
12.697181,61.635470
12.697145,61.635463
12.697108,61.635458
12.697069,61.635450
12.697034,61.635460
12.696991,61.635467
12.696951,61.635462
12.696909,61.635453
12.696858,61.635463
12.696813,61.635457
12.696773,61.635450
12.696736,61.635459
12.696698,61.635464
12.696663,61.635478
12.696616,61.635491
12.696577,61.635482
12.696536,61.635480
12.696502,61.635498
12.696470,61.635510
12.696434,61.635519
12.696396,61.635526
12.696347,61.635526
12.696308,61.635526
12.696271,61.635532
12.696219,61.635534
12.696177,61.635550
12.696145,61.635562
12.696110,61.635572
12.696065,61.635577
12.696025,61.635589
12.695985,61.635589
12.695946,61.635587
12.695901,61.635592
12.695852,61.635587
12.695811,61.635589
12.695755,61.635589
12.695728,61.635608
12.695705,61.635629
12.695686,61.635650
12.695669,61.635670
12.695659,61.635692
12.695647,61.635715
12.695625,61.635738
12.695618,61.635758
12.695604,61.635776
12.695588,61.635798
12.695568,61.635817
12.695549,61.635837
12.695529,61.635856
12.695531,61.635881
12.695559,61.635901
12.695575,61.635922
12.695587,61.635942
12.695584,61.635962
12.695583,61.635985
12.695595,61.636007
12.695583,61.636024
12.695573,61.636047
12.695544,61.636065
12.695511,61.636085
12.695483,61.636099
12.695475,61.636123
12.695449,61.636144
12.695405,61.636156
12.695361,61.636149
12.695320,61.636148
12.695307,61.636167
12.695296,61.636188
12.695277,61.636207
12.695236,61.636213
12.695212,61.636233
12.695185,61.636246
12.695151,61.636262
12.695111,61.636274
12.695091,61.636293
12.695072,61.636316
12.695033,61.636332
12.695009,61.636349
12.694989,61.636367
12.694950,61.636382
12.694921,61.636397
12.694900,61.636418
12.694870,61.636429
12.694825,61.636440
12.694784,61.636439
12.694742,61.636445
12.694691,61.636454
12.694645,61.636453
12.694614,61.636439
12.694570,61.636433
12.694532,61.636441
12.694487,61.636453
12.694447,61.636461
12.694399,61.636447
12.694365,61.636437
12.694323,61.636424
12.694292,61.636408
12.694266,61.636423
12.694215,61.636427
12.694170,61.636433
12.694109,61.636438
12.694066,61.636434
12.694012,61.636429
12.693961,61.636419
12.693915,61.636411
12.693860,61.636407
12.693823,61.636402
12.693786,61.636395
12.693736,61.636390
12.693685,61.636387
12.693632,61.636383
12.693585,61.636381
12.693538,61.636378
12.693491,61.636372
12.693443,61.636363
12.693394,61.636360
12.693342,61.636357
12.693303,61.636354
12.693262,61.636349
12.693219,61.636345
12.693175,61.636341
12.693126,61.636337
12.693089,61.636333
12.693048,61.636330
12.693009,61.636328
12.692968,61.636324
12.692911,61.636318
12.692865,61.636314
12.692818,61.636310
12.692765,61.636307
12.692710,61.636302
12.692656,61.636294
12.692612,61.636292
12.692559,61.636284
12.692514,61.636285
12.692472,61.636288
12.692413,61.636288
12.692370,61.636290
12.692329,61.636292
12.692291,61.636296
12.692248,61.636301
12.692199,61.636305
12.692151,61.636316
12.692096,61.636323
12.692051,61.636331
12.692008,61.636333
12.691959,61.636345
12.691902,61.636350
12.691865,61.636356
12.691826,61.636362
12.691768,61.636366
12.691720,61.636372
12.691673,61.636370
12.691620,61.636373
12.691562,61.636374
12.691522,61.636375
12.691482,61.636379
12.691421,61.636382
12.691381,61.636382
12.691343,61.636386
12.691304,61.636385
12.691265,61.636387
12.691226,61.636390
12.691178,61.636392
12.691140,61.636394
12.691098,61.636394
12.691052,61.636397
12.691011,61.636399
12.690960,61.636399
12.690918,61.636402
12.690867,61.636403
12.690826,61.636405
12.690777,61.636409
12.690729,61.636409
12.690689,61.636413
12.690631,61.636415
12.690577,61.636417
